14	19	27	28	30	45
22	26	29	30	34	45
5	17	26	27	35	38
21	26	30	32	33	35
6	12	31	35	38	43
3	5	13	20	21	37
6	12	17	21	32	39
2	20	33	40	42	44
7	16	25	29	35	36
6	14	15	19	21	41
12	17	20	26	28	36
3	5	12	22	26	31
5	14	15	23	34	43
6	7	9	11	17	18
8	16	26	29	31	36
2	3	6	19	36	39
7	16	24	27	37	44
2	14	15	22	27	33
2	5	22	32	34	45
9	14	34	35	41	42
26	31	32	33	38	40
3	11	15	20	35	44
1	6	12	19	36	42
6	7	22	32	35	36
2	5	11	17	24	29
12	30	32	37	39	41
5	7	12	13	18	35
14	16	27	35	39	45
5	12	13	31	32	41
8	9	20	25	29	33
9	18	20	22	38	44
10	14	16	18	29	35
5	6	11	29	42	45
12	15	17	24	29	45
12	27	29	38	41	45
1	4	13	17	34	39
3	19	21	25	37	45
12	18	22	23	30	34
15	26	28	34	41	42
14	23	31	33	37	40
3	11	14	18	26	27
21	22	26	34	36	41
5	11	18	20	35	45
1	9	12	26	35	38
9	12	15	25	34	36
15	23	29	34	40	44
9	11	30	31	41	44
8	11	16	19	21	25
8	11	15	16	17	37
8	13	18	24	27	29
7	15	30	37	39	44
1	4	29	39	43	45
17	25	33	35	38	45
6	10	12	14	20	42
2	8	19	22	32	42
1	3	9	14	18	28
13	17	18	20	42	45
4	7	14	16	24	44
6	11	15	24	32	39
1	4	13	29	38	39
1	3	8	24	27	35
6	14	16	18	24	42
12	20	26	33	44	45
13	18	25	31	33	44
2	4	25	26	36	37
17	18	21	27	29	33
2	13	20	30	31	41
